Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR,Extra_0
Mark Gilchrist,8,5,0,33,90,36.7,1,9,11.1,4,6,66.7,62,28,20,14,21,5,71,11.3,2.5,1.8,0.6,8.9,15.0
Eric Thompson,12,6,0,46,134,34.3,8,42,19.0,7,9,77.8,70,27,26,16,19,0,107,8.1,2.2,1.3,0.0,8.9,11.4
Ezra Leano,15,26,0,58,130,44.6,6,20,30.0,11,16,68.8,102,27,18,6,8,14,133,8.6,1.2,0.4,0.9,8.9,14.3
Justin Duff,16,23,1,66,130,50.8,0,3,0.0,9,34,26.5,160,76,30,17,27,29,141,14.8,1.9,1.1,1.8,8.8,21.1
Colin Laplante,16,30,2,53,149,35.6,19,69,27.5,14,28,50.0,67,12,40,8,17,6,140,4.9,2.5,0.5,0.4,8.8,9.1
Meher Deol,15,21,0,59,151,39.1,8,38,21.1,8,13,61.5,63,17,31,17,25,1,132,5.3,2.1,1.1,0.1,8.8,9.3
Ben Githieya,12,21,0,48,94,51.1,3,13,23.1,7,12,58.3,53,28,7,6,24,0,106,6.8,0.6,0.5,0.0,8.8,10.4
Jonathan Salunga,34,52,4,118,311,37.9,32,130,24.6,27,62,43.5,94,30,49,40,56,8,295,3.6,1.4,1.2,0.2,8.7,6.8
Joachim LaRiviere,18,22,1,62,147,42.2,6,24,25.0,26,54,48.1,67,29,21,14,18,2,157,5.3,1.2,0.8,0.1,8.7,8.8
Emmanuel Vugampore,13,22,0,42,154,27.3,15,64,23.4,14,23,60.9,33,16,9,6,14,3,113,3.8,0.7,0.5,0.2,8.7,3.5
Runyu Liu,16,19,0,49,156,31.4,40,125,32.0,1,5,20.0,51,8,12,7,11,1,139,3.7,0.8,0.4,0.1,8.7,6.0
Oshay Torres,19,22,0,61,258,23.6,11,81,13.6,30,79,38.0,52,28,19,39,39,6,163,4.2,1.0,2.1,0.3,8.6,1.2
Delf Gravert,19,24,0,69,204,33.8,9,41,22.0,17,30,56.7,107,61,16,7,37,6,164,8.8,0.8,0.4,0.3,8.6,9.3
Sean Close,16,13,3,42,123,34.1,25,83,30.1,13,19,68.4,56,6,38,10,20,8,137,3.9,2.4,0.6,0.5,8.6,9.3
Dom Merano,13,10,1,50,136,36.8,9,33,27.3,6,9,66.7,24,12,20,16,20,1,112,2.8,1.5,1.2,0.1,8.6,5.8
Tyson Prince,18,26,0,59,192,30.7,21,83,25.3,15,26,57.7,52,16,24,20,21,2,154,3.8,1.3,1.1,0.1,8.6,5.7
Mike Pawlyshyn,12,8,1,32,126,25.4,31,115,27.0,5,7,71.4,29,4,8,5,5,1,102,2.8,0.7,0.4,0.1,8.5,4.0
