Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Lamar Mombo,8,11,1,41,76,53.9,6,18,33.3,6,8,75.0,31,25,12,7,9,7,94,7.0,1.5,0.9,0.9,11.8
Patrick Flaten,6,2,0,27,80,33.8,17,54,31.5,0,0,0.0,29,10,8,1,5,1,71,6.5,1.3,0.2,0.2,11.8
Markus Ballantyne,3,5,0,16,47,34.0,0,9,0.0,3,6,50.0,11,7,3,3,11,0,35,6.0,1.0,1.0,0.0,11.7
Jason Wegner,10,17,0,50,124,40.3,16,46,34.8,1,5,20.0,47,19,21,7,15,0,117,6.6,2.1,0.7,0.0,11.7
Nick Doerksen,7,13,0,31,103,30.1,14,61,23.0,6,7,85.7,36,20,6,10,18,8,82,8.0,0.9,1.4,1.1,11.7
Eric Thompson,7,6,0,34,99,34.3,6,26,23.1,8,14,57.1,31,14,18,7,12,0,82,6.4,2.6,1.0,0.0,11.7
Griffin Bernstein,7,12,0,33,93,35.5,8,30,26.7,8,12,66.7,25,4,17,8,15,3,82,4.1,2.4,1.1,0.4,11.7
Daniel Ramlal,7,1,0,34,82,41.5,5,13,38.5,8,11,72.7,12,12,17,12,8,0,81,3.4,2.4,1.7,0.0,11.6
Kenneth Jose,2,2,0,10,32,31.3,3,10,30.0,0,0,0.0,5,4,7,3,6,0,23,4.5,3.5,1.5,0.0,11.5
Marc Roxas,6,6,0,27,65,41.5,5,26,19.2,10,11,90.9,7,7,17,6,8,0,69,2.3,2.8,1.0,0.0,11.5
Matthew Foreman,8,6,0,34,88,38.6,1,11,9.1,23,32,71.9,38,23,9,10,15,3,92,7.6,1.1,1.3,0.4,11.5
Bretton Nowrang,11,6,0,50,151,33.1,24,72,33.3,3,5,60.0,29,18,23,16,15,1,127,4.3,2.1,1.5,0.1,11.5
Jordan Cahill,4,3,0,20,53,37.7,2,4,50.0,4,13,30.8,43,13,8,2,4,5,46,14.0,2.0,0.5,1.3,11.5
Sam Yetman,2,3,0,10,18,55.6,2,3,66.7,1,5,20.0,2,5,0,0,1,2,23,3.5,0.0,0.0,1.0,11.5
Joemhel Aquino,5,7,0,21,46,45.7,3,14,21.4,12,15,80.0,15,5,6,5,6,1,57,4.0,1.2,1.0,0.2,11.4
Taye Frazer,9,9,0,42,102,41.2,12,42,28.6,7,13,53.8,57,9,17,11,14,2,103,7.3,1.9,1.2,0.2,11.4
Ben Gardner,5,5,0,27,49,55.1,1,10,10.0,2,7,28.6,19,3,4,4,15,0,57,4.4,0.8,0.8,0.0,11.4
Mike Villanueva,5,10,0,20,57,35.1,12,36,33.3,5,7,71.4,16,7,7,6,7,0,57,4.6,1.4,1.2,0.0,11.4
Nhial Deng,5,7,0,22,67,32.8,8,29,27.6,5,11,45.5,16,20,5,5,12,4,57,7.2,1.0,1.0,0.8,11.4
Josh Bartlett,8,6,1,42,88,47.7,2,13,15.4,5,14,35.7,40,42,4,3,5,4,91,10.3,0.5,0.4,0.5,11.4
Joshua King Nwachukwu,6,9,0,24,54,44.4,4,14,28.6,16,32,50.0,25,4,19,7,13,2,68,4.8,3.2,1.2,0.3,11.3
Nate Bangura,3,2,0,13,38,34.2,5,24,20.8,3,4,75.0,11,0,6,5,7,5,34,3.7,2.0,1.7,1.7,11.3
RJ Millan,16,17,0,70,166,42.2,14,60,23.3,23,38,60.5,32,12,31,16,23,0,177,2.8,1.9,1.0,0.0,11.1
Kayden Stewart,9,25,0,38,94,40.4,17,47,36.2,9,20,45.0,48,6,9,16,12,0,100,6.0,1.0,1.8,0.0,11.1
Justin Oldfield,20,13,0,95,209,45.5,24,72,33.3,9,11,81.8,81,32,52,13,23,6,221,5.7,2.6,0.7,0.3,11.1
Zach Braga,7,15,0,33,87,37.9,6,25,24.0,6,9,66.7,24,13,6,8,12,0,78,5.3,0.9,1.1,0.0,11.1
Peter Smith,1,4,0,5,12,41.7,1,5,20.0,0,2,0.0,1,0,2,3,1,0,11,1.0,2.0,3.0,0.0,11.0
Harold Memita,6,1,0,25,47,53.2,15,30,50.0,1,1,100.0,19,5,22,6,9,0,66,4.0,3.7,1.0,0.0,11.0
Liam Stephenson,1,1,0,3,14,21.4,2,10,20.0,3,4,75.0,7,2,2,0,2,0,11,9.0,2.0,0.0,0.0,11.0
Klein Elegado,6,9,0,24,66,36.4,17,49,34.7,1,1,100.0,23,7,8,5,12,0,66,5.0,1.3,0.8,0.0,11.0
Michael Makumbi,1,1,0,5,19,26.3,1,3,33.3,0,0,0.0,4,8,3,6,1,1,11,12.0,3.0,6.0,1.0,11.0
Adesh Bhullar,12,20,0,49,143,34.3,22,74,29.7,12,26,46.2,46,18,15,12,12,11,132,5.3,1.3,1.0,0.9,11.0
Aaron,1,0,0,4,8,50.0,0,0,0.0,3,4,75.0,1,3,0,0,1,0,11,4.0,0.0,0.0,0.0,11.0
Eli Caron,2,1,0,9,23,39.1,1,9,11.1,3,7,42.9,5,2,5,5,4,0,22,3.5,2.5,2.5,0.0,11.0
Nick Stamler,8,16,2,36,181,19.9,9,28,32.1,6,13,46.2,25,4,8,7,22,1,87,3.6,1.0,0.9,0.1,10.9
Easton Dubois,7,10,0,30,94,31.9,9,42,21.4,7,16,43.8,56,8,9,16,62,0,76,9.1,1.3,2.3,0.0,10.9
Joseph Iyere,6,10,0,28,59,47.5,2,17,11.8,6,16,37.5,26,17,7,7,16,3,64,7.2,1.2,1.2,0.5,10.7
Marcel Arudda,3,8,0,14,36,38.9,3,9,33.3,1,2,50.0,9,6,1,3,2,0,32,5.0,0.3,1.0,0.0,10.7
Justin Titchousky-Bucknell,10,16,2,41,123,33.3,17,52,32.7,8,14,57.1,49,15,20,12,15,4,107,6.4,2.0,1.2,0.4,10.7
Dylan Tagle,13,8,0,55,130,42.3,12,46,26.1,17,26,65.4,114,45,44,12,28,6,139,12.2,3.4,0.9,0.5,10.7
Robert Mableson,9,12,0,46,68,67.6,1,2,50.0,3,3,100.0,30,16,31,14,13,4,96,5.1,3.4,1.6,0.4,10.7
Fatehkarn Toor,6,6,0,26,59,44.1,5,16,31.3,6,9,66.7,21,15,7,2,7,2,64,6.0,1.2,0.3,0.3,10.7
Scott Wolfe,9,14,0,42,74,56.8,0,0,0.0,11,29,37.9,24,22,12,1,22,1,95,5.1,1.3,0.1,0.1,10.6
Nam Nguyen,10,12,0,45,118,38.1,8,37,21.6,8,15,53.3,32,7,30,15,15,0,106,3.9,3.0,1.5,0.0,10.6
Gurman Toor,10,11,0,35,103,34.0,28,78,35.9,8,10,80.0,22,4,21,5,13,0,106,2.6,2.1,0.5,0.0,10.6
Sam Oguntola,11,15,1,52,137,38.0,4,33,12.1,8,30,26.7,77,40,10,12,31,29,116,10.6,0.9,1.1,2.6,10.5
Evan Deato,17,31,0,72,203,35.5,24,99,24.2,12,19,63.2,96,31,15,19,30,3,178,7.5,0.9,1.1,0.2,10.5
Isaiah Carriere-Krah,4,5,0,14,46,30.4,9,25,36.0,5,12,41.7,21,8,10,2,7,0,42,7.3,2.5,0.5,0.0,10.5
Bhag Dhillon,10,12,0,36,89,40.4,27,72,37.5,7,14,50.0,40,11,25,6,10,0,104,5.1,2.5,0.6,0.0,10.4
Chris Lorenzana,5,3,0,22,48,45.8,6,18,33.3,2,2,100.0,20,5,14,7,13,2,52,5.0,2.8,1.4,0.4,10.4
Joshua Lamoureux,8,10,0,30,82,36.6,18,74,24.3,4,6,66.7,33,14,13,4,11,2,82,5.9,1.6,0.5,0.3,10.3
Esteban Gomez,6,6,0,18,47,38.3,11,25,44.0,15,23,65.2,32,6,25,11,10,0,62,6.3,4.2,1.8,0.0,10.3
John Quilnet,7,17,0,31,76,40.8,1,6,16.7,9,19,47.4,28,26,15,5,15,5,72,7.7,2.1,0.7,0.7,10.3
Christian Konu,7,13,0,30,99,30.3,9,52,17.3,3,5,60.0,15,26,20,15,11,1,72,5.9,2.9,2.1,0.1,10.3
Jonathan Salunga,10,13,0,36,90,40.0,10,37,27.0,21,49,42.9,39,4,33,20,19,1,103,4.3,3.3,2.0,0.1,10.3
