Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Valour Eyamba,5,6,0,24,80,30.0,12,38,31.6,11,18,61.1,6.4,2.0,2.2,0.6,14.2,,,,,,,
Sean Close,4,1,0,18,43,41.9,13,26,50.0,7,8,87.5,6.0,3.0,0.3,1.3,14.0,,,,,,,
Inderjeet Brar,2,4,0,10,31,32.3,4,13,30.8,4,4,100.0,13.0,4.5,1.5,1.0,14.0,,,,,,,
Takeo Gagro,1,2,0,6,12,50.0,2,6,33.3,0,0,0.0,8.0,3.0,1.0,1.0,14.0,,,,,,,
Haaroon Kinnarath,9,13,0,47,138,34.1,28,90,31.1,3,4,75.0,3.0,2.3,1.2,0.0,13.9,,,,,,,
Rashid Abdualgadir,10,9,1,55,139,39.6,22,79,27.8,7,14,50.0,6.3,3.1,1.5,1.1,13.9,,,,,,,
Cade Vezeau,8,12,0,48,94,51.1,12,33,36.4,2,3,66.7,3.6,1.1,0.6,0.1,13.8,,,,,,,
Jordan Esquillo,8,6,0,41,122,33.6,14,57,24.6,12,17,70.6,5.4,2.6,1.6,0.0,13.8,,,,,,,
Christopher Tan,6,4,0,33,88,37.5,15,38,39.5,1,2,50.0,6.8,0.5,1.3,0.3,13.7,,,,,,,
Ben Wilson,7,6,0,41,111,36.9,9,36,25.0,4,6,66.7,7.3,2.9,1.3,0.3,13.6,,,,,,,
Ali Ahmed,7,11,0,31,96,32.3,23,79,29.1,9,12,75.0,6.6,5.6,1.3,0.3,13.4,,,,,,,
Gurvir Mangat,9,5,0,52,104,50.0,8,27,29.6,7,15,46.7,3.8,1.8,1.6,0.3,13.2,,,,,,,
Rhemson Bocalan,6,12,0,35,82,42.7,4,21,19.0,5,11,45.5,8.8,1.7,2.8,0.5,13.2,,,,,,,
Sukhdeep Saran,8,17,0,41,102,40.2,10,32,31.3,13,15,86.7,8.9,3.6,2.0,0.5,13.1,,,,,,,
Jillian Valdez,7,10,0,33,103,32.0,18,63,28.6,7,12,58.3,4.3,2.6,2.4,0.0,13.0,,,,,,,
Raynard Ramos,4,4,0,20,52,38.5,7,21,33.3,5,7,71.4,8.0,1.5,0.8,0.0,13.0,,,,,,,
Seth McKenzie,5,6,0,26,62,41.9,11,34,32.4,2,3,66.7,7.6,3.6,1.0,0.2,13.0,,,,,,,
Eric Orbeta,9,16,0,49,160,30.6,9,48,18.8,9,18,50.0,7.7,2.3,2.1,0.1,12.9,,,,,,,
Paul Luzige,7,11,1,32,85,37.6,19,53,35.8,7,9,77.8,5.7,1.6,1.7,0.0,12.9,,,,,,,
Dawson Rudy,8,15,0,42,111,37.8,1,14,7.1,18,35,51.4,9.1,1.0,0.6,0.3,12.9,,,,,,,
David Oshilaja,14,9,1,78,166,47.0,8,44,18.2,17,47,36.2,7.7,0.7,0.8,0.9,12.9,,,,,,,
Tariq Robinson,7,12,0,38,105,36.2,6,28,21.4,7,16,43.8,10.1,1.0,2.0,0.9,12.7,,,,,,,
Patrick Quevedo,5,3,0,21,58,36.2,15,38,39.5,6,9,66.7,4.8,3.0,0.4,0.0,12.6,,,,,,,
Cyril Urbiztondo,10,17,0,48,149,32.2,9,48,18.8,22,31,71.0,7.5,4.4,3.1,0.6,12.5,,,,,,,
Justin Oldfield,10,3,1,52,97,53.6,12,33,36.4,8,13,61.5,6.9,4.1,0.9,0.2,12.4,,,,,,,
Daniyal Khan,8,20,0,41,106,38.7,6,34,17.6,11,14,78.6,8.0,2.0,1.3,0.5,12.4,,,,,,,
Owen Ham,8,13,0,35,115,30.4,15,61,24.6,13,17,76.5,3.6,1.5,1.1,0.1,12.3,,,,,,,
Evan Deato,10,23,0,49,132,37.1,18,56,32.1,5,8,62.5,5.6,1.4,1.7,0.2,12.1,,,,,,,
Kobe Alejo,4,2,0,21,57,36.8,5,27,18.5,1,2,50.0,4.0,1.8,0.8,0.0,12.0,,,,,,,
Skylar Cooper,7,6,0,35,82,42.7,10,43,23.3,5,9,55.6,3.6,2.4,1.1,0.3,12.0,,,,,,,
Daniel Trommelen,5,3,0,26,49,53.1,5,15,33.3,3,4,75.0,7.4,3.0,1.2,0.2,12.0,,,,,,,
Samuel Bereketab,1,0,0,4,10,40.0,2,5,40.0,2,2,100.0,3.0,0.0,3.0,2.0,12.0,,,,,,,
Elvis Music,9,15,0,45,122,36.9,4,23,17.4,12,23,52.2,7.1,2.6,1.4,0.2,11.8,,,,,,,
Mike Hebert,5,8,0,21,36,58.3,0,2,0.0,17,25,68.0,9.4,5.2,2.4,1.4,11.8,,,,,,,
Cabrel St. Vincent,5,11,0,25,70,35.7,8,26,30.8,1,3,33.3,8.8,1.4,0.6,1.4,11.8,,,,,,,
Easton Swain,5,9,0,21,55,38.2,11,26,42.3,7,7,100.0,6.0,2.2,1.6,0.4,11.8,,,,,,,
Jherome Delos Reyes,12,12,0,60,165,36.4,18,70,25.7,4,13,30.8,6.6,2.2,1.2,0.0,11.8,,,,,,,
Joshua Cruz,10,6,0,39,129,30.2,38,123,30.9,2,2,100.0,2.7,1.3,0.4,0.0,11.8,,,,,,,
Jeremy Patterson,9,11,0,32,95,33.7,6,24,25.0,35,52,67.3,4.6,4.3,2.6,0.0,11.7,,,,,,,
Owen Dimaano,9,9,0,44,94,46.8,12,39,30.8,5,6,83.3,6.0,0.9,1.4,1.9,11.7,,,,,,,
Ticon Dano,2,3,0,7,22,31.8,3,10,30.0,6,8,75.0,4.5,1.5,3.5,0.0,11.5,,,,,,,
Brendan Obirek,6,12,0,27,83,32.5,10,49,20.4,5,12,41.7,5.5,5.0,2.3,0.5,11.5,,,,,,,
Angelo Daniels,5,8,0,22,68,32.4,9,26,34.6,4,7,57.1,2.0,1.0,2.6,0.2,11.4,,,,,,,
Samuel Sola,6,5,0,25,73,34.2,11,39,28.2,9,14,64.3,4.7,3.2,2.8,0.2,11.3,,,,,,,
Anointing Nnah,10,32,0,43,111,38.7,23,69,33.3,3,10,30.0,6.9,0.6,1.5,1.5,11.2,,,,,,,
