Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Lyndon *Need Last Name*,1,0,0,2,6,33.3,1,5,20.0,1,2,50.0,5.0,2.0,0.0,0.0,6.0,,,,,,,100
Brenden Gali,3,9,0,8,25,32.0,2,11,18.2,0,2,0.0,5.7,2.0,0.0,0.0,6.0,,,,,,,100
Ben Boileau,9,5,0,18,68,26.5,13,59,22.0,5,8,62.5,2.4,0.9,0.4,0.0,6.0,,,,,,,100
Judd Eusebio,7,9,0,15,42,35.7,7,22,31.8,5,14,35.7,4.4,1.3,1.6,0.0,6.0,,,,,,,100
Zachary Manzano,1,2,0,3,11,27.3,0,2,0.0,0,1,0.0,4.0,4.0,1.0,0.0,6.0,,,,,,,100
Justin Grant,2,0,0,5,8,62.5,1,1,100.0,1,2,50.0,6.5,1.0,0.5,0.0,6.0,,,,,,,100
Donald Stewart,1,0,0,3,3,100.0,0,0,0.0,0,0,0.0,7.0,1.0,0.0,0.0,6.0,,,,,,,100
Ryan Keil,6,6,0,13,38,34.2,8,24,33.3,0,1,0.0,2.8,0.3,0.8,0.2,5.7,,,,,,,100
Alex Kowalski,9,7,0,23,96,24.0,9,46,19.6,1,3,33.3,6.6,3.1,0.8,0.0,5.6,,,,,,,100
MJ Gutierrez,12,19,1,29,73,39.7,8,37,21.6,1,3,33.3,2.7,1.0,0.6,0.1,5.6,,,,,,,100
Matthew Dyck,5,4,0,12,33,36.4,2,16,12.5,2,2,100.0,5.0,5.6,2.2,0.6,5.6,,,,,,,100
Lucas Duncan,6,3,0,12,46,26.1,1,11,9.1,8,20,40.0,2.7,1.3,1.5,0.5,5.5,,,,,,,100
Rae Alarcio,6,1,0,12,42,28.6,8,30,26.7,1,2,50.0,2.0,1.0,0.2,0.0,5.5,,,,,,,100
Jaizen Paredes,8,12,1,21,40,52.5,0,1,0.0,2,5,40.0,4.8,1.5,0.5,0.0,5.5,,,,,,,100
Jase Tran,4,3,0,9,18,50.0,0,1,0.0,4,4,100.0,4.0,1.0,0.3,0.3,5.5,,,,,,,100
Jeffrey Rumbaoa,2,3,0,5,19,26.3,1,8,12.5,0,0,0.0,3.5,0.0,1.5,0.0,5.5,,,,,,,100
Khoa Do,9,6,0,19,52,36.5,11,37,29.7,0,0,0.0,3.0,0.8,0.6,0.0,5.4,,,,,,,100
Aaron Walker,8,4,0,17,39,43.6,6,18,33.3,3,5,60.0,5.4,0.9,0.5,0.1,5.3,,,,,,,100
Ephraim Francisco,11,8,0,25,82,30.5,5,33,15.2,3,6,50.0,2.0,0.5,0.5,0.1,5.3,,,,,,,100
Sean Asselstine,7,8,0,15,45,33.3,7,27,25.9,0,0,0.0,3.7,0.7,0.6,0.0,5.3,,,,,,,100
Anuna Ojwato,4,4,0,9,17,52.9,1,3,33.3,2,2,100.0,3.8,1.0,1.0,0.3,5.3,,,,,,,100
Jaiven Paredes,8,8,0,20,52,38.5,2,9,22.2,0,2,0.0,3.1,1.5,1.8,0.1,5.3,,,,,,,100
Michael Elenwoke,8,19,0,18,37,48.6,2,9,22.2,4,8,50.0,7.0,1.4,1.1,0.0,5.3,,,,,,,100
Hafiz Jatto,9,13,0,19,80,23.8,8,50,16.0,1,4,25.0,6.2,3.1,0.9,0.2,5.2,,,,,,,100
Lance Sulit,11,5,0,21,70,30.0,13,45,28.9,2,3,66.7,2.3,2.2,0.3,0.0,5.1,,,,,,,100
